timestamp,spot_price_eur_mwh,charge_mw,discharge_mw,net_grid_flow_mw,energy_mwh,soc_percent,hourly_gross_pnl_eur,hourly_degradation_eur
2026-08-01 00:00:00,60.22,0.0,0.0,0.0,10.0,50.0,0.0,0.0
2026-08-01 01:00:00,55.14,8.53,0.0,-8.53,18.0,90.0,-470.27,3.84
2026-08-01 02:00:00,98.55,0.0,5.01,5.01,12.66,63.3,493.69,2.25
2026-08-01 03:00:00,120.93,0.0,10.0,10.0,2.0,10.0,1209.34,4.5
2026-08-01 04:00:00,91.5,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-01 05:00:00,54.38,10.0,0.0,-10.0,11.38,56.9,-543.77,4.5
2026-08-01 06:00:00,68.88,0.0,8.8,8.8,2.0,10.0,606.18,3.96
2026-08-01 07:00:00,51.71,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-01 08:00:00,31.87,7.06,0.0,-7.06,8.62,43.1,-224.87,3.18
2026-08-01 09:00:00,31.42,10.0,0.0,-10.0,18.0,90.0,-314.22,4.5
2026-08-01 10:00:00,53.94,0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-01 11:00:00,65.18,0.0,10.0,10.0,7.34,36.7,651.8,4.5
2026-08-01 12:00:00,54.06,0.0,5.01,5.01,2.0,10.0,270.8,2.25
2026-08-01 13:00:00,-33.9,10.0,0.0,-10.0,11.38,56.9,339.01,4.5
2026-08-01 14:00:00,6.73,7.06,0.0,-7.06,18.0,90.0,-47.47,3.18
2026-08-01 15:00:00,22.58,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-01 16:00:00,27.52,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-01 17:00:00,48.09,-0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-01 18:00:00,86.11,0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-01 19:00:00,97.45,0.0,5.01,5.01,12.66,63.3,488.17,2.25
2026-08-01 20:00:00,105.1,0.0,10.0,10.0,2.0,10.0,1050.98,4.5
2026-08-01 21:00:00,54.44,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-01 22:00:00,56.79,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-01 23:00:00,44.85,10.0,0.0,-10.0,11.38,56.9,-448.52,4.5
2026-08-02 00:00:00,51.89,7.06,0.0,-7.06,18.0,90.0,-366.17,3.18
2026-08-02 01:00:00,57.14,0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-02 02:00:00,84.17,0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-02 03:00:00,111.76,0.0,10.0,10.0,7.34,36.7,1117.56,4.5
2026-08-02 04:00:00,88.57,0.0,5.01,5.01,2.0,10.0,443.67,2.25
2026-08-02 05:00:00,53.92,-0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-02 06:00:00,51.44,10.0,0.0,-10.0,11.38,56.9,-514.36,4.5
2026-08-02 07:00:00,60.39,0.0,8.8,8.8,2.0,10.0,531.45,3.96
2026-08-02 08:00:00,35.52,7.06,0.0,-7.06,8.62,43.1,-250.61,3.18
2026-08-02 09:00:00,18.62,10.0,0.0,-10.0,18.0,90.0,-186.2,4.5
2026-08-02 10:00:00,64.23,0.0,10.0,10.0,7.34,36.7,642.3,4.5
2026-08-02 11:00:00,59.14,0.0,5.01,5.01,2.0,10.0,296.25,2.25
2026-08-02 12:00:00,53.79,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
